| Day                            | Time                           | Campus                         | Building & Room                |
| Tuesday                        | 8:30 AM - 9:50 AM              | Livingston                     | BE-AUD                         |
| Friday                         | 8:30 AM - 9:50 AM              | Livingston                     | BE-AUD                         |
| Wednesday                      | 12:10 PM - 1:30 PM             | Busch                          | BST-114A                       |
| Tuesday                        | 8:30 AM - 9:50 AM              | Livingston                     | BE-AUD                         |
| Friday                         | 8:30 AM - 9:50 AM              | Livingston                     | BE-AUD                         |
| Thursday                       | 10:20 AM - 11:40 AM            | Busch                          | BST-114A                       |
| Tuesday                        | 8:30 AM - 9:50 AM              | Livingston                     | BE-AUD                         |
| Friday                         | 8:30 AM - 9:50 AM              | Livingston                     | BE-AUD                         |
| Thursday                       | 12:10 PM - 1:30 PM             | Busch                          | BST-114A                       |
| Tuesday                        | 8:30 AM - 9:50 AM              | Livingston                     | BE-AUD                         |
| Friday                         | 8:30 AM - 9:50 AM              | Livingston                     | BE-AUD                         |
| Thursday                       | 2:00 PM - 3:20 PM              | Busch                          | BST-114A                       |
| Wednesday                      | 10:20 AM - 11:40 AM            | Busch                          | ARC-103                        |
| Monday                         | 1:10 PM - 5:10 PM              | Busch                          | BLC-145                        |
| Wednesday                      | 10:20 AM - 11:40 AM            | Busch                          | ARC-103                        |
| Monday                         | 1:10 PM - 5:10 PM              | Busch                          | BLC-160                        |
| Wednesday                      | 10:20 AM - 11:40 AM            | Busch                          | ARC-103                        |
| Tuesday                        | 8:30 AM - 12:30 PM             | Busch                          | BLC-145                        |
| Wednesday                      | 10:20 AM - 11:40 AM            | Busch                          | ARC-103                        |
| Tuesday                        | 1:10 PM - 5:10 PM              | Busch                          | BLC-145                        |
| Wednesday                      | 10:20 AM - 11:40 AM            | Busch                          | ARC-103                        |
| Tuesday                        | 8:30 AM - 12:30 PM             | Busch                          | BLC-160                        |
| Wednesday                      | 10:20 AM - 11:40 AM            | Busch                          | ARC-103                        |
| Tuesday                        | 1:10 PM - 5:10 PM              | Busch                          | BLC-160                        |
| Wednesday                      | 10:20 AM - 11:40 AM            | Busch                          | ARC-103                        |
| Thursday                       | 8:30 AM - 12:30 PM             | Busch                          | BLC-145                        |
| Wednesday                      | 10:20 AM - 11:40 AM            | Busch                          | ARC-103                        |
| Thursday                       | 1:10 PM - 5:10 PM              | Busch                          | BLC-145                        |
| Wednesday                      | 10:20 AM - 11:40 AM            | Busch                          | ARC-103                        |
| Thursday                       | 8:30 AM - 12:30 PM             | Busch                          | BLC-160                        |
| Wednesday                      | 10:20 AM - 11:40 AM            | Busch                          | ARC-103                        |
| Thursday                       | 1:10 PM - 5:10 PM              | Busch                          | BLC-160                        |
| Wednesday                      | 10:20 AM - 11:40 AM            | Busch                          | ARC-103                        |
| Monday                         | 8:30 AM - 12:30 PM             | Busch                          | BLC-145                        |
| Wednesday                      | 8:30 AM - 11:30 AM             | Busch                          | BLC-141                        |
| Thursday                       | 2:00 PM - 5:00 PM              | Busch                          | BLC-141                        |
