Building/Room       Class Times              Professor Names               
HH-B5               9:20 PM - 10:40 PM       MINETTI                       
BSC-175             9:20 PM - 10:40 PM       GORE, DANIEL                  
CI-201              9:20 PM - 10:40 PM       KIM, JUSTIN                   
BSC-175             12:10 PM - 1:30 PM       HOPERSKY, HELEN               
MU-113              12:10 PM - 1:30 PM       TROSMAN                       
SC-101              12:10 PM - 1:30 PM       NGUYEN, ETHAN                 
BSC-175             12:10 PM - 1:30 PM       LIU, YUQING                   
BSC-175             12:10 PM - 1:30 PM       KAMAL, ZAIN                   
BSC-175             12:10 PM - 1:30 PM       MICHEL, LEX                   
SC-201              12:10 PM - 1:30 PM       SRIVASTAVA                    
MU-113              12:10 PM - 1:30 PM       CHEN, MAX                     
SC-202              12:10 PM - 1:30 PM       AVETRIA                       
HH-B2               12:10 PM - 1:30 PM       MANUOLA, ALESSA               
SC-207              12:10 PM - 1:30 PM       GOHEL, YOGI                   
GTW-444             12:10 PM - 1:30 PM       CHO, HYUNWOO                  
GTW-444             12:10 PM - 1:30 PM       BENAROYA                      
GTW-444             10:20 AM - 11:40 AM      GUELMER, NIKITA               
SC-205              10:20 AM - 11:40 AM      SENGUPTA, TULIP               
SC-104              2:00 PM - 3:20 PM        ATHREYA                       
CA-A2               8:30 AM - 9:50 AM        COORDS, SADIE                 
BSC-175             10:20 AM - 11:40 AM      VEMUGANTI, DIYA               
BRR-5113            12:10 PM - 1:30 PM       MARCHESE                      
GTW-444             12:10 PM - 1:30 PM       LUZURIAGA                     
SEC-216             2:00 PM - 3:20 PM        PATEL, ESHA                   
SEC-216             10:20 AM - 11:40 AM      AWAN, BILAL                   
GTW-444             8:30 AM - 9:50 AM        WATROBA                       
GTW-444             2:00 PM - 3:20 PM        GOVINDU, MEGHNA               
SEC-220             2:00 PM - 3:20 PM        IBRAHIM, ELARIA               
BE-011              12:10 PM - 1:30 PM       DEKOVICS, KAYLA               
BE-219              12:10 PM - 1:30 PM       SREEKANTH                     
SEC-204             12:10 PM - 1:30 PM       BLOCK, ETHAN                  
GTW-444             8:30 AM - 9:50 AM        BIRENBOIM                     
BE-250              12:10 PM - 1:30 PM       GOLDBERG                      
BE-213              8:30 AM - 9:50 AM                                      
TIL-105             2:00 PM - 3:20 PM                                      
TIL-103D            10:20 AM - 11:40 AM                                    
BE-011              2:00 PM - 3:20 PM                                      
BE-121              12:10 PM - 1:30 PM                                     
BSC-175             10:20 AM - 11:40 AM                                    
TIL-103C            10:20 AM - 11:40 AM                                    
BE-011              3:50 PM - 5:10 PM                                      
GTW-444             10:20 AM - 11:40 AM                                    
TIL-103D            2:00 PM - 3:20 PM                                      
BRR-5071            8:30 AM - 9:50 AM                                      
GTW-444             7:30 PM - 8:50 PM                                      
GTW-444             12:10 PM - 1:30 PM                                     
LSH-B111            12:10 PM - 1:30 PM                                     
BE-201              3:50 PM - 5:10 PM                                      
BE-011              5:40 PM - 7:00 PM                                      
TIL-209             7:30 PM - 8:50 PM                                      
SEC-217             10:20 AM - 11:40 AM                                    
GTW-444             10:20 AM - 11:40 AM                                    
FOR-138B            12:10 PM - 1:30 PM                                     
GTW-444             12:10 PM - 1:30 PM                                     
GTW-444             2:00 PM - 3:20 PM        ROBBINS, TALIA                
